tenus_1, ['tenos']
tenus_2, ['tenos']
tepeō, ['tepēō']
ter, ['trēs']
termen, ['termen']
terminus, ['termenos']
terra, ['terzā']
terreō, ['trozeō']
testis, ['tristis']
texō, ['teksō']
tēla, ['tekslā']
tēlā, ['tekslā']
tēnsa, ['ten-s-ā']
tignum, ['tegnom']
tingō, ['tengō']
tītiō, ['tītjō']
tolerō, ['tolazāō']
tollō, ['tolnō']
tōnsilla, ['tonslis']
tormentum, ['torkmentom']
torqueō, ['torkʷeō']
torreō, ['torzeō']
tōlēs, ['tonslis']
tōmentum, ['towamentom']
tōtus, ['toutā']
trabs, ['trabs']
trahō, ['traɣō']
trāns, ['trānts']
tremō, ['tremō']
trēs, ['trēs']
tribus, ['triðus', 'triβus']
triceps, ['triskaputis']
trīduum, ['trizdiwom']
trīstis, ['treistis']
trūdō, ['troudō']
tucca, ['tukko']
tueor, ['toweōr']
tumeō, ['tumēō']
tundō, ['tundō']
turdus, ['torzdos']
tussis, ['tussis']
tuus, ['towos']
tū, ['tū']
tūber, ['tūβos']
ulcus, ['elkos']
ulna, ['olenā']
uncus, ['onkos']
ungō, ['ongʷō']
unguen, ['ongʷən']
unguis, ['ungus']
ungustus, ['ongostos']
urbs, ['worβis']
urgeō, ['worɣēō']
ursa, ['orssā']
ursā, ['orssā']
ursus, ['orssos']
uxor, ['uksōr']
ūber, ['ouðer']
ūllus, ['oinolos']
ūniō, ['uznjō']
ūnus, ['oinos']
ūrō, ['ouzō']
ūsque, ['ūskʷe']
ūsus, ['oissos']
ūtor, ['oitōr']
vacca, ['wokā']
vacō, ['wakos']
vacuus, ['wakowos']
vadum, ['waðom']
vae, ['wai']
vagus, ['wagos']
valeō, ['walēō']
vannus, ['watnos']
vas, ['woss']
vādō, ['wāðō']
vāgīna, ['wāgīnā']
vānus, ['wānos']
vās, ['wāss']
vātēs, ['wātis']
vegeō, ['wegeō', 'wegejō']
vehō, ['weɣō']
vellō, ['welnō']
veneror, ['wenezāōr']
venēnum, ['weneznom']
venia, ['wenjā']
veniō, ['gʷenjō']
ventus_1, ['wentos']
ventus_2, ['gʷentus']
venustās, ['wenostāts']
venustior, ['wenostiōs']
venustus, ['wenostos']
verbum, ['werβom']
vereor, ['werēōr']
vergō, ['wergō']
verrēs, ['wersēn']
versus, ['worssos']
vertō, ['wertō']
verū, ['gʷeru']
vespa, ['wospā', 'wopsā']
vesper, ['wesperos']
vester, ['westeros']
vestis, ['westis']
vestīs, ['westis']
vetus, ['wetos']
vēlōx, ['weksloks']
vēlum, ['wekslom']
vēnum, ['wesnos']
vēr, ['wezor']
vērus, ['wēros']
vēxillum, ['wekslolom']
via, ['wijā']
vibrō, ['wibrāō']
videō, ['widēō']
vidua, ['wiðowā']
viduā, ['wiðowā']
vigeō, ['wegēō']
vinciō, ['winkjō']
